Datum@Uhrzeit.Zeitzone | Name | Rang | Grund | <vorheriger Rang>

------------------------------

05 | yVerplanter | <Teamkick> | Inaktivität | Moderator
19 | Manfusel | <Blacklist> | Unangemessenes Verhalten | Administration
19 | MCLP2005 | Administration | Beförderung | Development
19 | CallMeWoopf | Moderation | Testphase bestanden | Test-Moderation
20 | oiar | Builder | Umentscheidung | GameDesign
21 | Melone313 | GameDesign | Umentscheidung | Community Support
24 | Manfusel | SrBuild | Wiederaufnahme | VIP
26 | Kevinyo123 | Developer | Bestandene Bewerbung | Elite
31 | Y_Jason_Y | Builder | Bestandene Bewerbung | Spieler
