Datum@Uhrzeit.Zeitzone | Name | Rang | Grund | <vorheriger Rang>

------------------------------

08 | Tmt_10tp | T-Mod | Umentscheidung | Builder
10 | BrainLxg_ | T-Mod | Nach Bewerbungsgespräch | Spieler
11 | nofxxlinqs | T-Mod | Nach Bewerbungsgespräch | YouTuber
14 | LegendLoveCR | Mod | Testphase bestanden | T-Mod
21 | nofxxlinqs | Mod | Testphase bestanden | T-Mod
21 | Tmt_10tp | Mod | Testphase bestanden | T-Mod
24 | BrainLgx_ | Spieler | Testphase nicht bestanden | T-Mod
25 | Tmt_10tp | Spieler | Teamkick | Mod
27 | LvckyFelix | T-Builder | Nach Bewerbungsgespräch | Spieler
27 | Gecoded | T-Builder | Nach Bewerbungsgespräch | Spieler
27 | CallMeWoopf | Hero | Teamleave (Eigenwunsch) | Mod
